Hospitals,Address,State,Type,Status,COUNTY,Beds,County
HAMILTON GENERAL HOSPITAL,400 NORTH BROWN STREET,TX,GENERAL ACUTE CARE,OPEN,HAMILTON,42,Hamilton
UT HEALTH EAST TEXAS HENDERSON,300 WILSON STREET,TX,GENERAL ACUTE CARE,OPEN,RUSK,96,Rusk
MEMORIAL HOSPITAL,1900 STATE STREET,IL,CRITICAL ACCESS,OPEN,RANDOLPH,25,Randolph
ST. ANTHONY'S HOSPITAL,2807 LITTLE YORK ROAD,TX,GENERAL ACUTE CARE,CLOSED,HARRIS,39,Harris
THE HEIGHTS HOSPITAL,1917 ASHLAND STREET,TX,GENERAL ACUTE CARE,OPEN,HARRIS,46,Harris
MEMORIAL HERMANN SOUTHEAST HOSPITAL,11800 ASTORIA BOULEVARD,TX,GENERAL ACUTE CARE,OPEN,HARRIS,293,Harris
TEXAS HEALTH PRESBYTERIAN HOSPITAL KAUFMAN,850 ED HALL DRIVE,TX,GENERAL ACUTE CARE,OPEN,KAUFMAN,91,Kaufman
HCA HOUSTON HEALTHCARE KINGWOOD,22999 U.S. HIGHWAY 59 N,TX,GENERAL ACUTE CARE,OPEN,HARRIS,373,Harris
CHI ST LUKES HEALTH MEMORIAL LUFKIN,1201 WEST FRANK AVENUE,TX,GENERAL ACUTE CARE,OPEN,ANGELINA,271,Angelina
KINDRED HOSPITAL - CHICAGO,2544 W. MONTROSE AVENUE,IL,LONG TERM CARE,OPEN,COOK,-999,Cook
TEXAS HEALTH CENTER FOR DIAGNOSTICS & SURGERY PLANO,6020 WEST PARKER ROAD,TX,GENERAL ACUTE CARE,OPEN,COLLIN,18,Collin
RANKIN COUNTY HOSPITAL DISTRICT,1105 N ELIZABETH STREET,TX,GENERAL ACUTE CARE,OPEN,UPTON,15,Upton
COGDELL MEMORIAL HOSPITAL,1700 COGDELL BOULEVARD,TX,GENERAL ACUTE CARE,OPEN,SCURRY,25,Scurry
STAMFORD MEMORIAL HOSPITAL,1601 COLUMBIA STREET,TX,GENERAL ACUTE CARE,OPEN,JONES,25,Jones
WADLEY REGIONAL MEDICAL CENTER,1000 PINE STREET,TX,GENERAL ACUTE CARE,OPEN,BOWIE,370,Bowie
ARISE AUSTIN MEDICAL CENTER,3003 BEE CAVES ROAD,TX,GENERAL ACUTE CARE,OPEN,TRAVIS,19,Travis
CRESCENT MEDICAL CENTER LANCASTER,2600 WEST PLEASANT RUN ROAD,TX,GENERAL ACUTE CARE,OPEN,DALLAS,84,Dallas
PRISTINE HOSPITAL OF PASADENA,1004 SEYMOUR STREET,TX,GENERAL ACUTE CARE,CLOSED,HARRIS,-999,Harris
BAYLOR SCOTT & WHITE MEDICAL CENTER - COLLEGE STATION,700 SCOTT & WHITE DRIVE,TX,GENERAL ACUTE CARE,OPEN,BRAZOS,119,Brazos
TEXAS GENERAL HOSPITAL,2709 HOSPITAL BOULEVARD,TX,GENERAL ACUTE CARE,OPEN,TARRANT,41,Tarrant
MCCAMEY HOSPITAL,2500 RANCH ROAD 305,TX,GENERAL ACUTE CARE,OPEN,UPTON,14,Upton
SAINT CAMILLUS MEDICAL CENTER,1612 HURST TOWN CENTER DRIVE,TX,GENERAL ACUTE CARE,OPEN,TARRANT,23,Tarrant
CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI SOUTH,5950 SARATOGA BLVD,TX,GENERAL ACUTE CARE,OPEN,NUECES,153,Nueces
STONEWALL MEMORIAL HOSPITAL,821 NORTH BROADWAY STREET,TX,CRITICAL ACCESS,OPEN,STONEWALL,20,Stonewall
GRACE HOSPITAL,2307 WEST 14TH STREET,OH,GENERAL ACUTE CARE,CLOSED,CUYAHOGA,-999,Cuyahoga
ADVANCED SPECIALTY HOSPITAL OF TOLEDO,1015 GARDEN LAKE PARKWAY,OH,LONG TERM CARE,OPEN,LUCAS,40,Lucas
SELECT SPECIALTY HOSPITAL COLUMBUS SOUTH,1430 SOUTH HIGH STREET,OH,LONG TERM CARE,OPEN,FRANKLIN,43,Franklin
VIBRA HOSPITAL OF MAHONING VALLEY,8049 SOUTH AVENUE,OH,LONG TERM CARE,OPEN,MAHONING,45,Mahoning
WOODLANDS SPECIALTY HOSPITAL PLLC,25440 I 45 NORTH,TX,GENERAL ACUTE CARE,OPEN,MONTGOMERY,6,Montgomery
TEXAS HEALTH HOSPITAL CLEARFORK,5400 CLEARFORK MAIN ST,TX,GENERAL ACUTE CARE,OPEN,TARRANT,54,Tarrant
SHANNON MEDICAL CENTER ST JOHNS CAMPUS,2018 PULLIAM STREET,TX,GENERAL ACUTE CARE,OPEN,TOM GREEN,108,Tom Green
SHELTERING ARMS REHABILITATION HOSPITAL,8254 ATLEE ROAD,VA,REHABILITATION,OPEN,HANOVER,40,Hanover
ST. LUKE'S MERIDIAN MEDICAL CENTER,520 S. EAGLE ROAD,ID,SPECIAL,OPEN,ADA,-999,Ada
ST. LUKE'S REGIONAL MEDICAL CENTER,190 EAST BANNOCK STREET,ID,GENERAL ACUTE CARE,OPEN,ADA,604,Ada
ST VINCENT FISHERS HOSPITAL INC,13861 OLIO ROAD,IN,GENERAL ACUTE CARE,OPEN,HAMILTON,46,Hamilton
NAVAL HOSPITAL PENSACOLA,6000 WEST HIGHWAY 98,FL,MILITARY,OPEN,ESCAMBIA,-999,Escambia
88TH MEDICAL GROUP - WRIGHT-PATTERSON AIR FORCE BASE MEDICAL CENTER,4881 SUGAR MAPLE DR,OH,MILITARY,OPEN,GREENE,57,Greene
KINDRED HOSPITAL - TARRANT COUNTY,1000 NORTH COOPER STREET,TX,LONG TERM CARE,OPEN,TARRANT,68,Tarrant
VA MEDICAL CENTER - NEWINGTON CAMPUS,555 WILLARD AVE,CT,MILITARY,OPEN,HARTFORD,-999,Hartford
VA MEDICAL CENTER - ALVIN C. YORK CAMPUS,3400 LEBANON PIKE,TN,MILITARY,OPEN,RUTHERFORD,-999,Rutherford
FANNIN REGIONAL HOSPITAL,2855 OLD HIGHWAY 5,GA,GENERAL ACUTE CARE,OPEN,FANNIN,50,Fannin
CORNERSTONE HOSPITAL CONROE,1500 GRAND LAKE DRIVE,TX,LONG TERM CARE,OPEN,MONTGOMERY,41,Montgomery
TUALITY FOREST GROVE HOSPITAL-ER,1809 MAPLE ST,OR,GENERAL ACUTE CARE,OPEN,WASHINGTON,48,Washington
SAINT LUKE'S EAST HOSPITAL LEE'S SUMMIT,100 NE ST LUKES BLVD,MO,GENERAL ACUTE CARE,OPEN,JACKSON,203,Jackson
ALASKA VA HEALTHCARE SYSTEM,1201 N MULDOON RD,AK,MILITARY,OPEN,ANCHORAGE,50,Anchorage
BAYLOR SPECIALTY HOSPITAL,3504 SWISS AVENUE,TX,LONG TERM CARE,OPEN,DALLAS,68,Dallas
LIFECARE HOSPITALS OF DALLAS,1950 RECORD CROSSING ROAD,TX,LONG TERM CARE,OPEN,DALLAS,60,Dallas
SAGECREST HOSPITAL GRAPEVINE,4201 WILLIAM D TATE AVENUE,TX,LONG TERM CARE,OPEN,TARRANT,60,Tarrant
ROLLING PLAINS MEMORIAL HOSPITAL,200 EAST ARIZONA AVENUE,TX,GENERAL ACUTE CARE,OPEN,NOLAN,85,Nolan
ALLEGIANCE SPECIALTY HOSPITAL OF KILGORE,1612 SOUTH HENDERSON BOULEVARD,TX,LONG TERM CARE,OPEN,GREGG,60,Gregg
MESQUITE SPECIALTY HOSPITAL,1024 NORTH GALLOWAY AVENUE,TX,LONG TERM CARE,OPEN,DALLAS,40,Dallas
PLANO SPECIALTY HOSPITAL,1621 COIT ROAD,TX,LONG TERM CARE,OPEN,COLLIN,43,Collin
LIFECARE HOSPITALS OF PLANO,6800 PRESTON ROAD,TX,LONG TERM CARE,OPEN,COLLIN,66,Collin
PROMISE HOSPITAL OF WICHITA FALLS,1103 GRACE STREET,TX,LONG TERM CARE,OPEN,WICHITA,31,Wichita
METHODIST SOUTHLAKE HOSPITAL,421 EAST HIGHWAY 114,TX,GENERAL ACUTE CARE,OPEN,TARRANT,54,Tarrant
VIBRA SPECIALTY HOSPITAL,2700 WALKER WAY,TX,LONG TERM CARE,OPEN,DALLAS,40,Dallas
KINDRED HOSPITAL CLEAR LAKE,350 BLOSSOM STREET,TX,LONG TERM CARE,OPEN,HARRIS,110,Harris
SOLARA HOSPITAL MCALLEN - EDINBURG,2655 CORNERSTONE BOULEVARD,TX,LONG TERM CARE,OPEN,HIDALGO,25,Hidalgo
SETON MEDICAL CENTER HARKER HEIGHTS,850 WEST CENTRAL TEXAS EXPRESSWAY,TX,GENERAL ACUTE CARE,OPEN,BELL,83,Bell
DELTA MEMORIAL HOSPITAL,811 HIGHWAY 65 SOUTH,AR,GENERAL ACUTE CARE,OPEN,DESHA,25,Desha
CEDAR CREST HOSPITAL,3500 IH 35 SOUTH,TX,PSYCHIATRIC,OPEN,BELL,88,Bell
BIG SPRING STATE HOSPITAL,1901 NORTH HIGHWAY 87,TX,PSYCHIATRIC,OPEN,HOWARD,200,Howard
MAYHILL HOSPITAL,2809 SOUTH MAYHILL ROAD,TX,PSYCHIATRIC,OPEN,DENTON,60,Denton
GLEN OAKS HOSPITAL,301 EAST DIVISION ST.,TX,PSYCHIATRIC,OPEN,HUNT,54,Hunt
WEST OAKS HOSPITAL,6500 HORNWOOD DRIVE,TX,PSYCHIATRIC,OPEN,HARRIS,144,Harris
INTRACARE NORTH HOSPITAL,1120 CYPRESS STATION,TX,PSYCHIATRIC,OPEN,HARRIS,90,Harris
SUN BEHAVIORAL HOUSTON,7601 FANNIN STREET,TX,PSYCHIATRIC,OPEN,HARRIS,148,Harris
RECOVERY INNOVATIONS - RECOVERY RESPONSE CENTER,17506 RED OAK DRIVE,TX,PSYCHIATRIC,OPEN,HARRIS,24,Harris
TEXAS HEALTH SEAY BEHAVIORAL HEALTH CENTER PLANO,6110 WEST PARKER ROAD,TX,PSYCHIATRIC,OPEN,COLLIN,48,Collin
WILSON N JONES REGIONAL MEDICAL CENTER - BEHAVIORAL HEALTH SERVICES,1111 GALLAGHER ROAD,TX,PSYCHIATRIC,OPEN,GRAYSON,20,Grayson
NORTH TEXAS STATE HOSPITAL,4730 COLLEGE DRIVE,TX,PSYCHIATRIC,OPEN,WILBARGER,640,Wilbarger
RED RIVER HOSPITAL,1505 8TH STREET,TX,PSYCHIATRIC,OPEN,WICHITA,74,Wichita
MEDICAL CITY GREEN OAKS HOSPITAL,7808 CLODUS FIELDS DRIVE,TX,PSYCHIATRIC,OPEN,DALLAS,124,Dallas
OCEANS BEHAVIORAL HEALTHCARE OF LONGVIEW,615 CLINIC DRIVE,TX,PSYCHIATRIC,OPEN,GREGG,24,Gregg
SUNDANCE HOSPITAL,7000 US HIGHWAY 287,TX,PSYCHIATRIC,OPEN,TARRANT,116,Tarrant
THE MENNINGER CLINIC,12301 SOUTH MAIN STREET,TX,PSYCHIATRIC,OPEN,HARRIS,120,Harris
ADVENTHEALTH DEHAVIORAL HEALTH CENTER,2407 SOUTH CLEAR CREEK ROAD,TX,PSYCHIATRIC,OPEN,BELL,60,Bell
NIX BEHAVIORAL HEALTH CENTER,1975 BABCOCK RD,TX,PSYCHIATRIC,OPEN,BEXAR,73,Bexar
NIX SPECIALTY HEALTH CENTER,4330 VANCE JACKSON,TX,GENERAL ACUTE CARE,OPEN,BEXAR,94,Bexar
OCEANS BEHAVIORAL HOSPITAL OF KATY,455 PARK GROVE LANE,TX,PSYCHIATRIC,OPEN,HARRIS,48,Harris
ROCK SPRINGS,700 SOUTHEAST INNER LOOP,TX,PSYCHIATRIC,OPEN,WILLIAMSON,72,Williamson
KULA HOSPITAL,100 KEOKEA PLACE,HI,GENERAL ACUTE CARE,OPEN,MAUI,6,Maui
HAWAII MEDICAL CENTER WEST,91-2141 FORT WEAVER RD,HI,GENERAL ACUTE CARE,OPEN,HONOLULU,102,Honolulu
SAMUEL MAHELONA MEMORIAL HOSPITAL,4800 KAWAIHAU RD,HI,GENERAL ACUTE CARE,OPEN,KAUAI,80,Kauai
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF ABILENE,6401 DIRECTORS PARKWAY,TX,REHABILITATION,OPEN,TAYLOR,30,Taylor
PAM REHABILITATION HOSPITAL OF ALLEN,1001 RAINTREE CIRCLE,TX,REHABILITATION,OPEN,COLLIN,40,Collin
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF ARLINGTON,3200 MATLOCK ROAD,TX,REHABILITATION,OPEN,TARRANT,85,Tarrant
PAM REHABILITATION HOSPITAL OF BEAUMONT,3340 PLAZA 10 BOULEVARD,TX,REHABILITATION,OPEN,JEFFERSON,61,Jefferson
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF THE MID-CITIES,2304 STATE HIGHWAY 121,TX,REHABILITATION,OPEN,TARRANT,60,Tarrant
VIBRA REHABILITATION HOSPITAL OF AMARILLO,7200 WEST 9TH STREET,TX,REHABILITATION,OPEN,POTTER,44,Potter
SOUTH TEXAS REHABILITATION HOSPITAL,425 EAST ALTON GLOOR BOULEVARD,TX,REHABILITATION,OPEN,CAMERON,40,Cameron
ENCOMPASS HEALTH REHABILITATION HOSPITAL THE WOODLANDS,18550 INTERSTATE HIGHWAY 45 SOUTH,TX,REHABILITATION,OPEN,MONTGOMERY,84,Montgomery
TRUSTPOINT REHABILITATION HOSPITAL OF LUBBOCK,4302 PRINCETON STREET,TX,REHABILITATION,OPEN,LUBBOCK,74,Lubbock
SELECT REHABILITATION HOSPITAL OF SAN ANTONIO,19126 STONEHUE,TX,REHABILITATION,OPEN,BEXAR,42,Bexar
CORPUS CHRISTI REHABILITATION HOSPITAL,5726 ESPLANADE DRVIE,TX,REHABILITATION,OPEN,NUECES,35,Nueces
TEXAS REHABILITATION HOSPITAL OF FORT WORTH,425 ALABAMA AVENUE,TX,REHABILITATION,OPEN,TARRANT,66,Tarrant
REHAB CENTER AT RENAISSANCE,5403 DOCTORS DRIVE,TX,REHABILITATION,OPEN,HIDALGO,46,Hidalgo
CECIL R BOMAR REHABILITATION CENTER,707 WOOD STREET,TX,REHABILITATION,OPEN,NACOGDOCHES,21,Nacogdoches
WEATHERFORD REHABILITATION HOSPITAL LLC,703 EUREKA ST,TX,REHABILITATION,OPEN,PARKER,26,Parker
TEXAS REHABILITATION HOSPITAL OF ARLINGTON,900 W ARBROOK BLVD,TX,REHABILITATION,OPEN,TARRANT,40,Tarrant
WISE REGIONAL HEALTH INPATIENT REHABILITATION,2000 SOUTH FM 51,TX,REHABILITATION,OPEN,WISE,49,Wise
BAYLOR SCOTT AND WHITE THE HEART HOSPITAL DENTON,2801 SOUTH MAHILL ROAD,TX,SPECIAL,OPEN,DENTON,16,Denton
UGH PAIN AND SPINE,5445 LA BRANCH STREET,TX,SPECIAL,OPEN,HARRIS,7,Harris
BAYLOR SURGICAL HOSPITAL AT LAS COLINAS,400 WEST INTERSTATE 635,TX,SPECIAL,OPEN,DALLAS,20,Dallas
BAYLOR SCOTT AND WHITE PAVILION,1815 SOUTH 31ST STREET,TX,SPECIAL,OPEN,BELL,-999,Bell
BEACON CHILDREN'S HOSPITAL,150 HOSPITAL DRIVE,AL,PSYCHIATRIC,OPEN,CRENSHAW,28,Crenshaw
THOMAS HOSPITAL,750 MORPHY AVENUE,AL,GENERAL ACUTE CARE,OPEN,BALDWIN,150,Baldwin
LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD,AL,GENERAL ACUTE CARE,OPEN,TALLAPOOSA,46,Tallapoosa
FLOYD CHEROKEE MEDICAL CENTER,400 NORTHWOOD DRIVE,AL,GENERAL ACUTE CARE,OPEN,CHEROKEE,60,Cherokee
EASTPOINTE HOSPITAL,7400 ROPER LANE,AL,PSYCHIATRIC,OPEN,BALDWIN,66,Baldwin
SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,AL,GENERAL ACUTE CARE,OPEN,BALDWIN,112,Baldwin
STRAUB CLINIC AND HOSPITAL,888 SO KING ST,HI,GENERAL ACUTE CARE,OPEN,HONOLULU,111,Honolulu
HAWAII STATE HOSPITAL,45-710 KEAAHALA RD,HI,PSYCHIATRIC,OPEN,HONOLULU,178,Honolulu
CHARLES GEORGE VA MEDICAL CENTER,1100 TUNNEL RD,NC,MILITARY,OPEN,BUNCOMBE,119,Buncombe
W. G. (BILL) HEFNER VA MEDICAL CENTER,1601 BRENNER AVE,NC,MILITARY,OPEN,ROWAN,159,Rowan
MERCY REHABILITATION SERVICES,638 SOUTH BLUFF ROAD,IA,GENERAL ACUTE CARE,OPEN,CLINTON,-999,Clinton
LIFEWAYS HOSPITAL,8050 NORTHVIEW STREET,ID,PSYCHIATRIC,OPEN,ADA,16,Ada
PRESENCE SAINT JOSEPH HOSPITAL,2900 NORTH LAKE SHORE DRIVE,IL,GENERAL ACUTE CARE,OPEN,COOK,500,Cook
SONOMA VALLEY HOSPITAL,347 ANDRIEUX STREET,CA,GENERAL ACUTE CARE,OPEN,SONOMA,75,Sonoma
LOMPOC VALLEY MEDICAL CENTER,1515 E. OCEAN AVENUE,CA,GENERAL ACUTE CARE,OPEN,SANTA BARBARA,60,Santa Barbara
SANTA BARBARA PSYCHIATRIC HEALTH FACILITY,315 CAMINO DEL REMEDIO,CA,PSYCHIATRIC,OPEN,SANTA BARBARA,16,Santa Barbara
DOCTORS HOSPITAL OF MANTECA,1205 EAST NORTH STREET,CA,GENERAL ACUTE CARE,OPEN,SAN JOAQUIN,73,San Joaquin
WEST COVINA MEDICAL CENTER,725 SOUTH ORANGE AVENUE,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,46,Los Angeles
GLENDORA COMMUNITY HOSPITAL,150 WEST ROUTE 66,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,128,Los Angeles
BOYS TOWN NATIONAL RESEARCH HOSPITAL,555 NORTH 30TH ST,NE,CHILDREN,OPEN,DOUGLAS,31,Douglas
MIDDLE PARK MEDICAL CENTER-GRANBY,1000 GRANBY PARK DRIVE SOUTH,CO,GENERAL ACUTE CARE,OPEN,GRAND,25,Grand
COLLEGE MEDICAL CENTER HAWTHORNE CAMPUS,13300 SO. HAWTHORNE BOULEVARD,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,64,Los Angeles
CEDAR-SINAI MARINA DEL REY HOSPITAL,4650 LINCOLN BOULEVARD,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,145,Los Angeles
PACIFICA HOSPITAL OF THE VALLEY,9449 SAN FERNANDO ROAD,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,231,Los Angeles
HEMET VALLEY MEDICAL CENTER,1117 EAST DEVONSHIRE,CA,GENERAL ACUTE CARE,OPEN,RIVERSIDE,327,Riverside
SAN GORGONIO MEMORIAL HOSPITAL,600 HIGHLAND SPRINGS AVENUE,CA,GENERAL ACUTE CARE,OPEN,RIVERSIDE,71,Riverside
CALIFORNIA PACIFIC MEDICAL CENTER - VAN NESS CAMPUS,1101 VAN NESS AVENUE,CA,GENERAL ACUTE CARE,OPEN,SAN FRANCISCO,274,San Francisco
COALINGA REGIONAL MEDICAL CENTER,1191 PHELPS AVENUE,CA,GENERAL ACUTE CARE,OPEN,FRESNO,123,Fresno
CONTRA COSTA REGIONAL MEDICAL CENTER,2500 ALHAMBRA AVENUE,CA,GENERAL ACUTE CARE,OPEN,CONTRA COSTA,167,Contra Costa
SACRAMENTO COUNTY MENTAL HEALTH TREATMENT CENTER,2150 STOCKTON BOULEVARD,CA,PSYCHIATRIC,OPEN,SACRAMENTO,50,Sacramento
MIDTOWN OAKS POST-ACUTE,2600 L STREET,CA,REHABILITATION,OPEN,SACRAMENTO,100,Sacramento
FAIRVIEW DEVELOPMENTAL CENTER,2501 HARBOR BOULEVARD,CA,GENERAL ACUTE CARE,OPEN,ORANGE,1218,Orange
CHI MEMORIAL HOSPITAL-GEORGIA,100 GROSS CRESCENT CIRCLE,GA,GENERAL ACUTE CARE,OPEN,CATOOSA,179,Catoosa
SELECT SPECIALTY HOSPITAL - MIDTOWN ATLANTA,705 JUNIPER STREET NE,GA,LONG TERM CARE,OPEN,FULTON,72,Fulton
PRIDE MEDICAL,3280 HOWELL MILL ROAD NW,GA,GENERAL ACUTE CARE,CLOSED,FULTON,64,Fulton
SOUTHWESTERN STATE HOSPITAL,400 SOUTH PINE TREE BLVD,GA,PSYCHIATRIC,CLOSED,THOMAS,400,Thomas
PIEDMONT NEWTON HOSPITAL,5126 HOSPITAL DRIVE,GA,GENERAL ACUTE CARE,OPEN,NEWTON,101,Newton
WILLINGWAY HOSPITAL,311 JONES MILL ROAD,GA,GENERAL ACUTE CARE,OPEN,BULLOCH,40,Bulloch
BURKE MEDICAL CENTER,351 S LIBERTY STREET,GA,GENERAL ACUTE CARE,OPEN,BURKE,40,Burke
SOUTHEAST GEORGIA HEALTH SYSTEM - CAMDEN CAMPUS,2000 DAN PROCTOR DRIVE,GA,GENERAL ACUTE CARE,OPEN,CAMDEN,40,Camden
THE ORTHOPAEDIC HOSPITAL OF LUTHERAN HEALTH NETWOR,7952 W JEFFERSON BLVD,IN,GENERAL ACUTE CARE,OPEN,ALLEN,43,Allen
SMITH NORTHVIEW HOSPITAL,4280 NORTH VALDOSTA ROAD,GA,GENERAL ACUTE CARE,CLOSED,LOWNDES,45,Lowndes
NORTHRIDGE MEDICAL CENTER,70 MEDICAL CENTER DRIVE,GA,GENERAL ACUTE CARE,OPEN,JACKSON,90,Jackson
TY COBB HEALTHCARE SYSTEM - HART COUNTY HOSPITAL,GIBSON AND CADE STREETS,GA,GENERAL ACUTE CARE,CLOSED,HART,82,Hart
ZAMBARANO MEMORIAL HOSPITAL,2056 WALLUM LAKE ROAD,RI,PSYCHIATRIC,OPEN,PROVIDENCE,120,Providence
HARDIN COUNTY GENERAL HOSPITAL,FERRELL ROAD,IL,CRITICAL ACCESS,OPEN,HARDIN,25,Hardin
LAFAYETTE PHYSICAL REHABILITATION HOSPITAL,307 POLLY LN,LA,REHABILITATION,OPEN,LAFAYETTE,20,Lafayette
RIVER PARISHES HOSPITAL,500 RUE DE SANTE,LA,GENERAL ACUTE CARE,CLOSED,ST. JOHN THE BAPTIST,62,St. John The Baptist
CALDWELL MEMORIAL HOSPITAL,411 MAIN STREET,LA,LONG TERM CARE,OPEN,CALDWELL,25,Caldwell
SSM HEALTH ST. CLARE HOSPITAL,707 14TH ST,WI,GENERAL ACUTE CARE,OPEN,SAUK,100,Sauk
TRI PARISH REHABILITATION HOSPITAL,8088 HAWKS RD,LA,REHABILITATION,OPEN,VERNON,33,Vernon
RICHLAND PARISH HOSPITAL - DELHI,407 CINCINNATI ST,LA,GENERAL ACUTE CARE,OPEN,RICHLAND,25,Richland
AVALA,67252 INDUSTRY LN,LA,GENERAL ACUTE CARE,OPEN,ST. TAMMANY,21,St. Tammany
ST CATHERINE MEMORIAL HOSPITAL,64030 HIGHWAY 434,LA,SPECIAL,OPEN,ST. TAMMANY,58,St. Tammany
REGENCY HOSPITAL OF COVINGTON,195 HIGHLAND PARK ENTRANCE,LA,LONG TERM CARE,OPEN,ST. TAMMANY,38,St. Tammany
OCEANS BEHAVIORAL HOSPITAL OF KENTWOOD,921 AVENUE G,LA,PSYCHIATRIC,OPEN,TANGIPAHOA,18,Tangipahoa
ACADIAN MEDICAL CENTER (A CAMPUS OF MERCY REGIONAL MEDICAL CENTER),3501 HIGHWAY 190,LA,GENERAL ACUTE CARE,OPEN,ST. LANDRY,109,St. Landry
PHYSICIANS BEHAVIORAL HOSPITAL,2025 DESOTO ST,LA,PSYCHIATRIC,OPEN,CADDO,12,Caddo
KINDRED HOSPITAL RANCHO,10841 WHITE OAK AVENUE,CA,GENERAL ACUTE CARE,OPEN,SAN BERNARDINO,55,San Bernardino
PARADISE VALLEY HSP D/P APH BAYVIEW BEH HLTH,330 MOSS STREET,CA,GENERAL ACUTE CARE,OPEN,SAN DIEGO,64,San Diego
PRISCILLA CHAN & MARK ZUCKERBERG SAN FRANCISCO GENERAL HOSPITAL & TRAUMA CENTER,1001 POTRERO AVENUE,CA,GENERAL ACUTE CARE,OPEN,SAN FRANCISCO,375,San Francisco
NAVAL HOSPITAL GUAM,"FARENHOLT AVE., BLDG 50",GU,MILITARY,OPEN,GUAM,-999,Guam
ASCENSION BORGESS HOSPITAL,1521 GULL ROAD,MI,GENERAL ACUTE CARE,OPEN,KALAMAZOO,387,Kalamazoo
ASCENSION BORGESS-LEE MEMORIAL HOSPITAL,420 W HIGH STREET,MI,GENERAL ACUTE CARE,OPEN,CASS,25,Cass
ASCENSION BORGESS PIPP HOSPITAL,411 NAOMI STREET,MI,LONG TERM CARE,OPEN,ALLEGAN,43,Allegan
ASCENSION BRIGHTON CENTER FOR RECOVERY,12851 E GRAND RIVER,MI,REHABILITATION,OPEN,LIVINGSTON,41,Livingston
ASCENSION GENESYS HOSPITAL,ONE GENESYS PARKWAY,MI,GENERAL ACUTE CARE,OPEN,GENESEE,410,Genesee
IRELAND ARMY COMMUNITY HOSPITAL,289 IRELAND AVE.,KY,MILITARY,OPEN,HARDIN,-999,Hardin
BLANCHFIELD ARMY COMMUNITY HOSPITAL,650 JOEL DRIVE,KY,MILITARY,OPEN,MONTGOMERY,41,Montgomery
WALTER REED NATIONAL MILITARY MEDICAL CENTER,8901 ROCKVILLE PIKE,MD,MILITARY,OPEN,MONTGOMERY,244,Montgomery
ASCENSION MACOMB-OAKLAND HOSPITAL MADISON HIGHTS,27351 DEQUINDRE,MI,GENERAL ACUTE CARE,OPEN,OAKLAND,133,Oakland
ASCENSION MACOMB OAKLAND HOSP-WARREN CAMPUS,11800 EAST TWELVE MILE ROAD,MI,GENERAL ACUTE CARE,OPEN,MACOMB,348,Macomb
ASCENSION PROVIDENCE HOSPITAL,16001 W NINE MILE RD,MI,GENERAL ACUTE CARE,OPEN,OAKLAND,359,Oakland
ASCENSION PROVIDENCE ROCHESTER HOSPITAL,1101 W UNIVERSITY DRIVE,MI,GENERAL ACUTE CARE,OPEN,OAKLAND,254,Oakland
ASCENSION RIVER DISTRICT HOSPITAL,4100 RIVER RD,MI,GENERAL ACUTE CARE,OPEN,ST. CLAIR,68,St. Clair
ASCENSION ST JOHN HOSPITAL,"22101 MOROSS RD, 6TH FLOOR",MI,LONG TERM CARE,OPEN,WAYNE,30,Wayne
ASCENSION ST JOSEPH HOSPITAL,200 HEMLOCK,MI,GENERAL ACUTE CARE,OPEN,IOSCO,49,Iosco
ASCENSION ST MARY'S HOSPITAL,800 S WASHINGTON AVENUE,MI,GENERAL ACUTE CARE,OPEN,SAGINAW,268,Saginaw
MCLAREN CARO REGION,401 N HOOPER STREET,MI,GENERAL ACUTE CARE,OPEN,TUSCOLA,25,Tuscola
MCLAREN THUMB REGION,1100 SOUTH VAN DYKE ROAD,MI,GENERAL ACUTE CARE,OPEN,HURON,48,Huron
MERCY HEALTH LAKESHORE CAMPUS,72 SOUTH STATE STREET,MI,CRITICAL ACCESS,OPEN,OCEANA,24,Oceana
MIDMICHIGAN MEDICAL CENTER ALPENA,1501 W CHISHOLM ST,MI,GENERAL ACUTE CARE,OPEN,ALPENA,124,Alpena
MIDMICHIGAN MEDICAL CENTER WEST BRANCH,2463 SOUTH M-30,MI,GENERAL ACUTE CARE,OPEN,OGEMAW,88,Ogemaw
SPECTRUM HEALTH KELSEY HOSPITAL,418 WASHINGTON,MI,CRITICAL ACCESS,OPEN,MONTCALM,16,Montcalm
SPECTRUM HEALTH BUTTERWORTH CAMPUS,100 MICHIGAN ST NE,MI,GENERAL ACUTE CARE,OPEN,KENT,852,Kent
SPECTRUM HEALTH FULLER CAMPUS,750 FULLER AVE NE,MI,LONG TERM CARE,OPEN,KENT,51,Kent
